t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,0.0,0.0,0.0
1200,1500,1350.0,0.375,300,0.0,0.0,0.0
1500,1800,1650.0,0.4583333333333333,300,0.0,0.0,0.0
1800,2100,1950.0,0.5416666666666666,300,8.977976093206239e-08,0.3232071393554246,0.026933928279618716
2100,2400,2250.0,0.625,300,8.977976093206231e-08,0.32320713935542433,0.026933928279618696
2400,2700,2550.0,0.7083333333333334,300,8.977976093206239e-08,0.3232071393554246,0.026933928279618716
2700,3000,2850.0,0.7916666666666666,300,8.97797609320624e-08,0.32320713935542467,0.02693392827961872
3000,3300,3150.0,0.875,300,8.977976093206245e-08,0.3232071393554248,0.026933928279618734
3300,3600,3450.0,0.9583333333333334,300,8.977976093206215e-08,0.3232071393554238,0.026933928279618647
3600,3900,3750.0,1.0416666666666667,300,2.0948610884147897e-07,0.7541499918293243,0.0628458326524437
3900,4200,4050.0,1.125,300,2.0948610884147897e-07,0.7541499918293243,0.0628458326524437
4200,4500,4350.0,1.2083333333333333,300,2.094861088414789e-07,0.7541499918293241,0.06284583265244367
4500,4800,4650.0,1.2916666666666667,300,2.0948610884147855e-07,0.7541499918293227,0.06284583265244356
4800,5100,4950.0,1.375,300,2.094861088414789e-07,0.7541499918293241,0.06284583265244367
5100,5400,5250.0,1.4583333333333333,300,2.094861088414789e-07,0.7541499918293241,0.06284583265244367
5400,5700,5550.0,1.5416666666666667,300,2.0948610884147894e-06,7.541499918293241,0.6284583265244369
5700,6000,5850.0,1.625,300,2.0948610884147894e-06,7.541499918293241,0.6284583265244369
6000,6300,6150.0,1.7083333333333333,300,2.0948610884147903e-06,7.541499918293245,0.6284583265244371
6300,6600,6450.0,1.7916666666666667,300,2.0948610884147894e-06,7.541499918293241,0.6284583265244369
6600,6900,6750.0,1.875,300,2.0948610884147797e-06,7.541499918293208,0.6284583265244339
6900,7200,7050.0,1.9583333333333333,300,2.0948610884147894e-06,7.541499918293241,0.6284583265244369
7200,7500,7350.0,2.0416666666666665,300,1.7955952186412478e-05,64.64142787108491,5.3867856559237435
7500,7800,7650.0,2.125,300,1.7955952186412478e-05,64.64142787108491,5.3867856559237435
7800,8100,7950.0,2.2083333333333335,300,1.7955952186412464e-05,64.64142787108487,5.38678565592374
8100,8400,8250.0,2.2916666666666665,300,1.7955952186412478e-05,64.64142787108491,5.3867856559237435
8400,8700,8550.0,2.375,300,1.7955952186412478e-05,64.64142787108491,5.3867856559237435
8700,9000,8850.0,2.4583333333333335,300,1.7955952186412464e-05,64.64142787108487,5.38678565592374
9000,9300,9150.0,2.5416666666666665,300,2.992658697735414e-05,107.7357131184749,8.977976093206241
9300,9600,9450.0,2.625,300,2.9926586977354005e-05,107.73571311847442,8.977976093206202
9600,9900,9750.0,2.7083333333333335,300,2.992658697735414e-05,107.7357131184749,8.977976093206241
9900,10200,10050.0,2.7916666666666665,300,2.992658697735414e-05,107.7357131184749,8.977976093206241
10200,10500,10350.0,2.875,300,2.992658697735414e-05,107.7357131184749,8.977976093206241
10500,10800,10650.0,2.9583333333333335,300,2.992658697735414e-05,107.7357131184749,8.977976093206241
10800,11100,10950.0,3.0416666666666665,300,8.977976093206188e-06,32.32071393554228,2.693392827961856
11100,11400,11250.0,3.125,300,8.977976093206276e-06,32.32071393554259,2.693392827961883
11400,11700,11550.0,3.2083333333333335,300,8.977976093206188e-06,32.32071393554228,2.693392827961856
11700,12000,11850.0,3.2916666666666665,300,8.977976093206276e-06,32.32071393554259,2.693392827961883
12000,12300,12150.0,3.375,300,8.977976093206188e-06,32.32071393554228,2.693392827961856
12300,12600,12450.0,3.4583333333333335,300,8.977976093206276e-06,32.32071393554259,2.693392827961883
12600,12900,12750.0,3.5416666666666665,300,2.992658697735396e-06,10.773571311847425,0.8977976093206188
12900,13200,13050.0,3.625,300,2.99265869773544e-06,10.773571311847583,0.897797609320632
13200,13500,13350.0,3.7083333333333335,300,2.992658697735396e-06,10.773571311847425,0.8977976093206188
13500,13800,13650.0,3.7916666666666665,300,2.992658697735396e-06,10.773571311847425,0.8977976093206188
13800,14100,13950.0,3.875,300,2.99265869773544e-06,10.773571311847583,0.897797609320632
14100,14400,14250.0,3.9583333333333335,300,2.992658697735396e-06,10.773571311847425,0.8977976093206188
14400,14700,14550.0,4.041666666666667,300,2.99265869773544e-06,10.773571311847583,0.897797609320632
14700,15000,14850.0,4.125,300,2.992658697735396e-06,10.773571311847425,0.8977976093206188
15000,15300,15150.0,4.208333333333333,300,2.992658697735396e-06,10.773571311847425,0.8977976093206188
15300,15600,15450.0,4.291666666666667,300,2.992658697735396e-06,10.773571311847425,0.8977976093206188
15600,15900,15750.0,4.375,300,2.99265869773544e-06,10.773571311847583,0.897797609320632
15900,16200,16050.0,4.458333333333333,300,2.992658697735396e-06,10.773571311847425,0.8977976093206188
16200,16500,16350.0,4.541666666666667,300,5.985317395470968e-07,2.1547142623695485,0.17955952186412905
16500,16800,16650.0,4.625,300,5.985317395470527e-07,2.15471426236939,0.1795595218641158
16800,17100,16950.0,4.708333333333333,300,5.985317395470968e-07,2.1547142623695485,0.17955952186412905
17100,17400,17250.0,4.791666666666667,300,5.985317395470968e-07,2.1547142623695485,0.17955952186412905
17400,17700,17550.0,4.875,300,5.985317395470527e-07,2.15471426236939,0.1795595218641158
17700,18000,17850.0,4.958333333333333,300,5.985317395470968e-07,2.1547142623695485,0.17955952186412905
18000,18300,18150.0,5.041666666666667,300,8.977976093204036e-08,0.3232071393553453,0.026933928279612107
18300,18600,18450.0,5.125,300,8.977976093208428e-08,0.3232071393555034,0.026933928279625284
18600,18900,18750.0,5.208333333333333,300,8.977976093204036e-08,0.3232071393553453,0.026933928279612107
18900,19200,19050.0,5.291666666666667,300,8.977976093208428e-08,0.3232071393555034,0.026933928279625284
19200,19500,19350.0,5.375,300,8.977976093208428e-08,0.3232071393555034,0.026933928279625284
19500,19800,19650.0,5.458333333333333,300,8.977976093204036e-08,0.3232071393553453,0.026933928279612107
19800,20100,19950.0,5.541666666666667,300,0.0,0.0,0.0
20100,20400,20250.0,5.625,300,0.0,0.0,0.0
20400,20700,20550.0,5.708333333333333,300,0.0,0.0,0.0
20700,21000,20850.0,5.791666666666667,300,0.0,0.0,0.0
21000,21300,21150.0,5.875,300,0.0,0.0,0.0
21300,21600,21450.0,5.958333333333333,300,0.0,0.0,0.0
