t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,9.731932213648058e-08,0.3503495596913301,0.029195796640944176
1200,1500,1350.0,0.375,300,9.731932213648062e-08,0.35034955969133025,0.029195796640944186
1500,1800,1650.0,0.4583333333333333,300,9.731932213648053e-08,0.3503495596913299,0.02919579664094416
1800,2100,1950.0,0.5416666666666666,300,2.2707841831845482e-07,0.8174823059464373,0.06812352549553645
2100,2400,2250.0,0.625,300,2.2707841831845455e-07,0.8174823059464363,0.06812352549553637
2400,2700,2550.0,0.7083333333333334,300,2.2707841831845474e-07,0.8174823059464371,0.06812352549553642
2700,3000,2850.0,0.7916666666666666,300,2.270784183184548e-06,8.174823059464373,0.6812352549553644
3000,3300,3150.0,0.875,300,2.2707841831845484e-06,8.174823059464375,0.6812352549553645
3300,3600,3450.0,0.9583333333333334,300,2.270784183184543e-06,8.174823059464353,0.6812352549553629
3600,3900,3750.0,1.0416666666666667,300,1.946386442729612e-05,70.06991193826603,5.8391593281888365
3900,4200,4050.0,1.125,300,1.9463864427296114e-05,70.069911938266,5.839159328188835
4200,4500,4350.0,1.2083333333333333,300,1.9463864427296114e-05,70.069911938266,5.839159328188835
4500,4800,4650.0,1.2916666666666667,300,3.243977404549348e-05,116.78318656377654,9.731932213648044
4800,5100,4950.0,1.375,300,3.243977404549355e-05,116.78318656377678,9.731932213648067
5100,5400,5250.0,1.4583333333333333,300,3.243977404549355e-05,116.78318656377678,9.731932213648067
5400,5700,5550.0,1.5416666666666667,300,9.731932213648055e-06,35.034955969132994,2.9195796640944165
5700,6000,5850.0,1.625,300,9.731932213648055e-06,35.034955969132994,2.9195796640944165
6000,6300,6150.0,1.7083333333333333,300,9.731932213648055e-06,35.034955969132994,2.9195796640944165
6300,6600,6450.0,1.7916666666666667,300,3.2439774045493593e-06,11.678318656377693,0.9731932213648078
6600,6900,6750.0,1.875,300,3.2439774045493356e-06,11.67831865637761,0.9731932213648007
6900,7200,7050.0,1.9583333333333333,300,3.2439774045493593e-06,11.678318656377693,0.9731932213648078
7200,7500,7350.0,2.0416666666666665,300,3.2439774045493593e-06,11.678318656377693,0.9731932213648078
7500,7800,7650.0,2.125,300,3.2439774045493356e-06,11.67831865637761,0.9731932213648007
7800,8100,7950.0,2.2083333333333335,300,3.2439774045493593e-06,11.678318656377693,0.9731932213648078
8100,8400,8250.0,2.2916666666666665,300,6.487954809098623e-07,2.3356637312755044,0.1946386442729587
8400,8700,8550.0,2.375,300,6.487954809098861e-07,2.33566373127559,0.19463864427296584
8700,9000,8850.0,2.4583333333333335,300,6.487954809098623e-07,2.3356637312755044,0.1946386442729587
9000,9300,9150.0,2.5416666666666665,300,9.731932213648054e-08,0.35034955969132997,0.029195796640944162
9300,9600,9450.0,2.625,300,9.731932213648054e-08,0.35034955969132997,0.029195796640944162
9600,9900,9750.0,2.7083333333333335,300,9.731932213648054e-08,0.35034955969132997,0.029195796640944162
9900,10200,10050.0,2.7916666666666665,300,0.0,0.0,0.0
10200,10500,10350.0,2.875,300,0.0,0.0,0.0
10500,10800,10650.0,2.9583333333333335,300,0.0,0.0,0.0
