t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,1.3764872144046003e-07,0.4955353971856561,0.041294616432138005
1200,1500,1350.0,0.375,300,1.3764872144046008e-07,0.4955353971856563,0.04129461643213802
1500,1800,1650.0,0.4583333333333333,300,1.3764872144045992e-07,0.4955353971856557,0.04129461643213798
1800,2100,1950.0,0.5416666666666666,300,3.2118035002774024e-07,1.1562492600998648,0.09635410500832207
2100,2400,2250.0,0.625,300,3.211803500277398e-07,1.1562492600998633,0.09635410500832195
2400,2700,2550.0,0.7083333333333334,300,3.211803500277401e-07,1.1562492600998644,0.09635410500832203
2700,3000,2850.0,0.7916666666666666,300,3.2118035002774015e-06,11.562492600998645,0.9635410500832204
3000,3300,3150.0,0.875,300,3.2118035002774028e-06,11.56249260099865,0.9635410500832208
3300,3600,3450.0,0.9583333333333334,300,3.2118035002773947e-06,11.56249260099862,0.9635410500832184
3600,3900,3750.0,1.0416666666666667,300,2.752974428809201e-05,99.10707943713123,8.258923286427603
3900,4200,4050.0,1.125,300,2.7529744288092004e-05,99.10707943713122,8.258923286427601
4200,4500,4350.0,1.2083333333333333,300,2.7529744288092004e-05,99.10707943713122,8.258923286427601
4500,4800,4650.0,1.2916666666666667,300,4.5882907146819934e-05,165.17846572855174,13.764872144045981
4800,5100,4950.0,1.375,300,4.5882907146820036e-05,165.17846572855214,13.764872144046011
5100,5400,5250.0,1.4583333333333333,300,4.5882907146820036e-05,165.17846572855214,13.764872144046011
5400,5700,5550.0,1.5416666666666667,300,1.3764872144045997e-05,49.55353971856559,4.129461643213799
5700,6000,5850.0,1.625,300,1.3764872144045997e-05,49.55353971856559,4.129461643213799
6000,6300,6150.0,1.7083333333333333,300,1.3764872144045997e-05,49.55353971856559,4.129461643213799
6300,6600,6450.0,1.7916666666666667,300,4.58829071468201e-06,16.517846572855237,1.376487214404603
6600,6900,6750.0,1.875,300,4.5882907146819765e-06,16.517846572855117,1.3764872144045928
6900,7200,7050.0,1.9583333333333333,300,4.58829071468201e-06,16.517846572855237,1.376487214404603
7200,7500,7350.0,2.0416666666666665,300,4.58829071468201e-06,16.517846572855237,1.376487214404603
7500,7800,7650.0,2.125,300,4.5882907146819765e-06,16.517846572855117,1.3764872144045928
7800,8100,7950.0,2.2083333333333335,300,4.58829071468201e-06,16.517846572855237,1.376487214404603
8100,8400,8250.0,2.2916666666666665,300,9.176581429363885e-07,3.3035693145709986,0.27529744288091657
8400,8700,8550.0,2.375,300,9.176581429364222e-07,3.3035693145711202,0.27529744288092667
8700,9000,8850.0,2.4583333333333335,300,9.176581429363885e-07,3.3035693145709986,0.27529744288091657
9000,9300,9150.0,2.5416666666666665,300,1.3764872144045995e-07,0.4955353971856558,0.04129461643213799
9300,9600,9450.0,2.625,300,1.3764872144045995e-07,0.4955353971856558,0.04129461643213799
9600,9900,9750.0,2.7083333333333335,300,1.3764872144045995e-07,0.4955353971856558,0.04129461643213799
9900,10200,10050.0,2.7916666666666665,300,0.0,0.0,0.0
10200,10500,10350.0,2.875,300,0.0,0.0,0.0
10500,10800,10650.0,2.9583333333333335,300,0.0,0.0,0.0
