t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,1.0928846118928736e-07,0.39343846028143453,0.03278653835678621
1200,1500,1350.0,0.375,300,1.0928846118928742e-07,0.3934384602814347,0.03278653835678623
1500,1800,1650.0,0.4583333333333333,300,1.0928846118928728e-07,0.3934384602814342,0.03278653835678619
1800,2100,1950.0,0.5416666666666666,300,2.5500640944167067e-07,0.9180230739900145,0.0765019228325012
2100,2400,2250.0,0.625,300,2.550064094416704e-07,0.9180230739900135,0.07650192283250112
2400,2700,2550.0,0.7083333333333334,300,2.5500640944167056e-07,0.918023073990014,0.07650192283250117
2700,3000,2850.0,0.7916666666666666,300,2.5500640944167063e-06,9.180230739900143,0.7650192283250119
3000,3300,3150.0,0.875,300,2.5500640944167067e-06,9.180230739900143,0.765019228325012
3300,3600,3450.0,0.9583333333333334,300,2.5500640944167008e-06,9.180230739900123,0.7650192283250102
3600,3900,3750.0,1.0416666666666667,300,2.185769223785748e-05,78.68769205628693,6.557307671357244
3900,4200,4050.0,1.125,300,2.1857692237857474e-05,78.6876920562869,6.5573076713572425
4200,4500,4350.0,1.2083333333333333,300,2.1857692237857474e-05,78.6876920562869,6.5573076713572425
4500,4800,4650.0,1.2916666666666667,300,3.6429487063095733e-05,131.14615342714464,10.92884611892872
4800,5100,4950.0,1.375,300,3.6429487063095815e-05,131.14615342714495,10.928846118928744
5100,5400,5250.0,1.4583333333333333,300,3.6429487063095815e-05,131.14615342714495,10.928846118928744
5400,5700,5550.0,1.5416666666666667,300,1.0928846118928734e-05,39.34384602814344,3.27865383567862
5700,6000,5850.0,1.625,300,1.0928846118928734e-05,39.34384602814344,3.27865383567862
6000,6300,6150.0,1.7083333333333333,300,1.0928846118928734e-05,39.34384602814344,3.27865383567862
6300,6600,6450.0,1.7916666666666667,300,3.6429487063095856e-06,13.114615342714508,1.0928846118928757
6600,6900,6750.0,1.875,300,3.6429487063095594e-06,13.114615342714414,1.092884611892868
6900,7200,7050.0,1.9583333333333333,300,3.6429487063095856e-06,13.114615342714508,1.0928846118928757
7200,7500,7350.0,2.0416666666666665,300,3.6429487063095856e-06,13.114615342714508,1.0928846118928757
7500,7800,7650.0,2.125,300,3.6429487063095594e-06,13.114615342714414,1.092884611892868
7800,8100,7950.0,2.2083333333333335,300,3.6429487063095856e-06,13.114615342714508,1.0928846118928757
8100,8400,8250.0,2.2916666666666665,300,7.285897412619067e-07,2.622923068542864,0.218576922378572
8400,8700,8550.0,2.375,300,7.285897412619333e-07,2.62292306854296,0.21857692237858
8700,9000,8850.0,2.4583333333333335,300,7.285897412619067e-07,2.622923068542864,0.218576922378572
9000,9300,9150.0,2.5416666666666665,300,1.0928846118928731e-07,0.3934384602814343,0.032786538356786195
9300,9600,9450.0,2.625,300,1.0928846118928731e-07,0.3934384602814343,0.032786538356786195
9600,9900,9750.0,2.7083333333333335,300,1.0928846118928731e-07,0.3934384602814343,0.032786538356786195
9900,10200,10050.0,2.7916666666666665,300,0.0,0.0,0.0
10200,10500,10350.0,2.875,300,0.0,0.0,0.0
10500,10800,10650.0,2.9583333333333335,300,0.0,0.0,0.0
