t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,0.0,0.0,0.0
1200,1500,1350.0,0.375,300,0.0,0.0,0.0
1500,1800,1650.0,0.4583333333333333,300,0.0,0.0,0.0
1800,2100,1950.0,0.5416666666666666,300,1.0780243758511127e-07,0.38808877530640057,0.032340731275533385
2100,2400,2250.0,0.625,300,1.0780243758511117e-07,0.3880887753064002,0.03234073127553335
2400,2700,2550.0,0.7083333333333334,300,1.0780243758511126e-07,0.38808877530640057,0.03234073127553338
2700,3000,2850.0,0.7916666666666666,300,1.0780243758511127e-07,0.38808877530640057,0.032340731275533385
3000,3300,3150.0,0.875,300,1.0780243758511133e-07,0.3880887753064008,0.0323407312755334
3300,3600,3450.0,0.9583333333333334,300,1.0780243758511097e-07,0.38808877530639946,0.03234073127553329
3600,3900,3750.0,1.0416666666666667,300,2.5153902103192635e-07,0.9055404757149349,0.07546170630957791
3900,4200,4050.0,1.125,300,2.5153902103192635e-07,0.9055404757149349,0.07546170630957791
4200,4500,4350.0,1.2083333333333333,300,2.5153902103192624e-07,0.9055404757149346,0.07546170630957787
4500,4800,4650.0,1.2916666666666667,300,2.515390210319258e-07,0.905540475714933,0.07546170630957774
4800,5100,4950.0,1.375,300,2.5153902103192624e-07,0.9055404757149346,0.07546170630957787
5100,5400,5250.0,1.4583333333333333,300,2.5153902103192624e-07,0.9055404757149346,0.07546170630957787
5400,5700,5550.0,1.5416666666666667,300,2.515390210319263e-06,9.055404757149347,0.754617063095779
5700,6000,5850.0,1.625,300,2.515390210319263e-06,9.055404757149347,0.754617063095779
6000,6300,6150.0,1.7083333333333333,300,2.5153902103192644e-06,9.055404757149352,0.7546170630957794
6300,6600,6450.0,1.7916666666666667,300,2.515390210319263e-06,9.055404757149347,0.754617063095779
6600,6900,6750.0,1.875,300,2.5153902103192517e-06,9.055404757149306,0.7546170630957755
6900,7200,7050.0,1.9583333333333333,300,2.515390210319263e-06,9.055404757149347,0.754617063095779
7200,7500,7350.0,2.0416666666666665,300,2.1560487517022246e-05,77.61775506128008,6.4681462551066735
7500,7800,7650.0,2.125,300,2.1560487517022246e-05,77.61775506128008,6.4681462551066735
7800,8100,7950.0,2.2083333333333335,300,2.1560487517022235e-05,77.61775506128004,6.46814625510667
8100,8400,8250.0,2.2916666666666665,300,2.1560487517022246e-05,77.61775506128008,6.4681462551066735
8400,8700,8550.0,2.375,300,2.1560487517022246e-05,77.61775506128008,6.4681462551066735
8700,9000,8850.0,2.4583333333333335,300,2.1560487517022235e-05,77.61775506128004,6.46814625510667
9000,9300,9150.0,2.5416666666666665,300,3.593414586170377e-05,129.36292510213357,10.78024375851113
9300,9600,9450.0,2.625,300,3.593414586170361e-05,129.36292510213298,10.780243758511082
9600,9900,9750.0,2.7083333333333335,300,3.593414586170377e-05,129.36292510213357,10.78024375851113
9900,10200,10050.0,2.7916666666666665,300,3.593414586170377e-05,129.36292510213357,10.78024375851113
10200,10500,10350.0,2.875,300,3.593414586170377e-05,129.36292510213357,10.78024375851113
10500,10800,10650.0,2.9583333333333335,300,3.593414586170377e-05,129.36292510213357,10.78024375851113
10800,11100,10950.0,3.0416666666666665,300,1.0780243758511065e-05,38.80887753063983,3.2340731275533194
11100,11400,11250.0,3.125,300,1.0780243758511172e-05,38.808877530640224,3.2340731275533514
11400,11700,11550.0,3.2083333333333335,300,1.0780243758511065e-05,38.80887753063983,3.2340731275533194
11700,12000,11850.0,3.2916666666666665,300,1.0780243758511172e-05,38.808877530640224,3.2340731275533514
12000,12300,12150.0,3.375,300,1.0780243758511065e-05,38.80887753063983,3.2340731275533194
12300,12600,12450.0,3.4583333333333335,300,1.0780243758511172e-05,38.808877530640224,3.2340731275533514
12600,12900,12750.0,3.5416666666666665,300,3.593414586170355e-06,12.936292510213278,1.0780243758511063
12900,13200,13050.0,3.625,300,3.5934145861704073e-06,12.936292510213466,1.0780243758511223
13200,13500,13350.0,3.7083333333333335,300,3.593414586170355e-06,12.936292510213278,1.0780243758511063
13500,13800,13650.0,3.7916666666666665,300,3.593414586170355e-06,12.936292510213278,1.0780243758511063
13800,14100,13950.0,3.875,300,3.5934145861704073e-06,12.936292510213466,1.0780243758511223
14100,14400,14250.0,3.9583333333333335,300,3.593414586170355e-06,12.936292510213278,1.0780243758511063
14400,14700,14550.0,4.041666666666667,300,3.5934145861704073e-06,12.936292510213466,1.0780243758511223
14700,15000,14850.0,4.125,300,3.593414586170355e-06,12.936292510213278,1.0780243758511063
15000,15300,15150.0,4.208333333333333,300,3.593414586170355e-06,12.936292510213278,1.0780243758511063
15300,15600,15450.0,4.291666666666667,300,3.593414586170355e-06,12.936292510213278,1.0780243758511063
15600,15900,15750.0,4.375,300,3.5934145861704073e-06,12.936292510213466,1.0780243758511223
15900,16200,16050.0,4.458333333333333,300,3.593414586170355e-06,12.936292510213278,1.0780243758511063
16200,16500,16350.0,4.541666666666667,300,7.186829172340921e-07,2.5872585020427317,0.21560487517022764
16500,16800,16650.0,4.625,300,7.186829172340394e-07,2.5872585020425416,0.21560487517021182
16800,17100,16950.0,4.708333333333333,300,7.186829172340921e-07,2.5872585020427317,0.21560487517022764
17100,17400,17250.0,4.791666666666667,300,7.186829172340921e-07,2.5872585020427317,0.21560487517022764
17400,17700,17550.0,4.875,300,7.186829172340394e-07,2.5872585020425416,0.21560487517021182
17700,18000,17850.0,4.958333333333333,300,7.186829172340921e-07,2.5872585020427317,0.21560487517022764
18000,18300,18150.0,5.041666666666667,300,1.0780243758508482e-07,0.38808877530630537,0.03234073127552544
18300,18600,18450.0,5.125,300,1.0780243758513754e-07,0.38808877530649516,0.03234073127554127
18600,18900,18750.0,5.208333333333333,300,1.0780243758508482e-07,0.38808877530630537,0.03234073127552544
18900,19200,19050.0,5.291666666666667,300,1.0780243758513754e-07,0.38808877530649516,0.03234073127554127
19200,19500,19350.0,5.375,300,1.0780243758513754e-07,0.38808877530649516,0.03234073127554127
19500,19800,19650.0,5.458333333333333,300,1.0780243758508482e-07,0.38808877530630537,0.03234073127552544
19800,20100,19950.0,5.541666666666667,300,0.0,0.0,0.0
20100,20400,20250.0,5.625,300,0.0,0.0,0.0
20400,20700,20550.0,5.708333333333333,300,0.0,0.0,0.0
20700,21000,20850.0,5.791666666666667,300,0.0,0.0,0.0
21000,21300,21150.0,5.875,300,0.0,0.0,0.0
21300,21600,21450.0,5.958333333333333,300,0.0,0.0,0.0
