scenario_name,duration_h,probability,return_period_yr,scaling_factor,total_rainfall_mm,peak_intensity_mmh,mean_intensity_mmh
rain_D3h_RP2_P0500_BASE,3,0.5,2,1.0,31.182251000000004,56.617795733091285,10.394083666666669
rain_D3h_RP2_P0500_S105,3,0.5,2,1.05,32.74136355000001,59.44868551974585,10.91378785
rain_D3h_RP2_P0500_S110,3,0.5,2,1.1,34.300476100000004,62.279575306400424,11.433492033333335
rain_D3h_RP2_P0500_S112,3,0.5,2,1.12,34.92412112,63.41193122106225,11.641373706666668
rain_D3h_RP2_P0500_S120,3,0.5,2,1.2,37.4187012,67.94135487970955,12.4729004
rain_D3h_RP2_P0500_S130,3,0.5,2,1.3,40.536926300000005,73.60313445301868,13.512308766666669
rain_D3h_RP30_P0500_BASE,3,0.5,30,1.0,52.61894600000001,95.54052837040408,17.539648666666668
rain_D3h_RP30_P0500_S105,3,0.5,30,1.05,55.249893300000004,100.31755478892428,18.416631100000004
rain_D3h_RP30_P0500_S110,3,0.5,30,1.1,57.88084060000002,105.0945812074445,19.29361353333334
rain_D3h_RP30_P0500_S112,3,0.5,30,1.12,58.93321952000002,107.00539177485258,19.64440650666667
rain_D3h_RP30_P0500_S120,3,0.5,30,1.2,63.14273520000001,114.6486340444849,21.047578400000006
rain_D3h_RP30_P0500_S130,3,0.5,30,1.3,68.40462980000001,124.20268688152534,22.801543266666673
rain_D3h_RP100_P0500_BASE,3,0.5,100,1.0,62.625490000000006,113.70946890603733,20.875163333333337
rain_D3h_RP100_P0500_S105,3,0.5,100,1.05,65.7567645,119.39494235133921,21.918921500000003
rain_D3h_RP100_P0500_S110,3,0.5,100,1.1,68.888039,125.08041579664108,22.962679666666673
rain_D3h_RP100_P0500_S112,3,0.5,100,1.12,70.1405488,127.35460517476182,23.380182933333337
rain_D3h_RP100_P0500_S120,3,0.5,100,1.2,75.150588,136.4513626872448,25.050196
rain_D3h_RP100_P0500_S130,3,0.5,100,1.3,81.41313700000002,147.82230957784856,27.13771233333334
rain_D3h_RP200_P0500_BASE,3,0.5,200,1.0,68.78928,124.90109850204279,22.92976
rain_D3h_RP200_P0500_S105,3,0.5,200,1.05,72.22874400000002,131.14615342714495,24.076248000000007
rain_D3h_RP200_P0500_S110,3,0.5,200,1.1,75.66820800000002,137.39120835224705,25.222736000000005
rain_D3h_RP200_P0500_S112,3,0.5,200,1.12,77.04399360000002,139.88923032228794,25.681331200000006
rain_D3h_RP200_P0500_S120,3,0.5,200,1.2,82.54713600000001,149.88131820245133,27.515712
rain_D3h_RP200_P0500_S130,3,0.5,200,1.3,89.42606400000003,162.37142805265563,29.808688000000004
rain_D3h_RP2_P0975_BASE,3,0.975,2,1.0,34.557857999999996,62.7469051293691,11.519286000000001
rain_D3h_RP2_P0975_S105,3,0.975,2,1.05,36.285750900000004,65.88425038583755,12.095250300000002
rain_D3h_RP2_P0975_S110,3,0.975,2,1.1,38.01364380000001,69.02159564230601,12.671214600000004
rain_D3h_RP2_P0975_S112,3,0.975,2,1.12,38.70480096000001,70.27653374489338,12.901600320000002
rain_D3h_RP2_P0975_S120,3,0.975,2,1.2,41.4694296,75.2962861552429,13.8231432
rain_D3h_RP2_P0975_S130,3,0.975,2,1.3,44.925215400000006,81.57097666817982,14.975071800000002
rain_D3h_RP30_P0975_BASE,3,0.975,30,1.0,64.31834000000002,116.78318656377678,21.439446666666672
rain_D3h_RP30_P0975_S105,3,0.975,30,1.05,67.53425700000001,122.62234589196564,22.511419000000004
rain_D3h_RP30_P0975_S110,3,0.975,30,1.1,70.75017400000003,128.4615052201545,23.583391333333342
rain_D3h_RP30_P0975_S112,3,0.975,30,1.12,72.03654080000001,130.79716895143002,24.012180266666675
rain_D3h_RP30_P0975_S120,3,0.975,30,1.2,77.18200800000001,140.13982387653215,25.727336
rain_D3h_RP30_P0975_S130,3,0.975,30,1.3,83.61384200000002,151.81814253290983,27.871280666666674
rain_D3h_RP100_P0975_BASE,3,0.975,100,1.0,80.54722,146.25005901044042,26.849073333333337
rain_D3h_RP100_P0975_S105,3,0.975,100,1.05,84.574581,153.56256196096246,28.191527000000004
rain_D3h_RP100_P0975_S110,3,0.975,100,1.1,88.60194200000001,160.8750649114845,29.533980666666675
rain_D3h_RP100_P0975_S112,3,0.975,100,1.12,90.21288640000002,163.80006609169328,30.07096213333334
rain_D3h_RP100_P0975_S120,3,0.975,100,1.2,96.656664,175.5000708125285,32.218888
rain_D3h_RP100_P0975_S130,3,0.975,100,1.3,104.71138600000002,190.12507671357255,34.903795333333335
rain_D3h_RP200_P0975_BASE,3,0.975,200,1.0,90.97204000000002,165.17846572855214,30.324013333333337
rain_D3h_RP200_P0975_S105,3,0.975,200,1.05,95.52064200000001,173.43738901497977,31.840214000000017
rain_D3h_RP200_P0975_S110,3,0.975,200,1.1,100.06924400000004,181.69631230140737,33.35641466666668
rain_D3h_RP200_P0975_S112,3,0.975,200,1.12,101.88868480000004,184.9998816159784,33.96289493333334
rain_D3h_RP200_P0975_S120,3,0.975,200,1.2,109.16644800000002,198.21415887426255,36.388816
rain_D3h_RP200_P0975_S130,3,0.975,200,1.3,118.26365200000002,214.73200544711779,39.42121733333334
