t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,0.0,0.0,0.0
1200,1500,1350.0,0.375,300,0.0,0.0,0.0
1500,1800,1650.0,0.4583333333333333,300,0.0,0.0,0.0
1800,2100,1950.0,0.5416666666666666,300,7.809876931457111e-08,0.281155569532456,0.023429630794371333
2100,2400,2250.0,0.625,300,7.809876931457102e-08,0.28115556953245563,0.023429630794371305
2400,2700,2550.0,0.7083333333333334,300,7.80987693145711e-08,0.28115556953245596,0.02342963079437133
2700,3000,2850.0,0.7916666666666666,300,7.809876931457111e-08,0.281155569532456,0.023429630794371333
3000,3300,3150.0,0.875,300,7.809876931457113e-08,0.2811555695324561,0.02342963079437134
3300,3600,3450.0,0.9583333333333334,300,7.809876931457088e-08,0.2811555695324552,0.023429630794371263
3600,3900,3750.0,1.0416666666666667,300,1.8223046173399925e-07,0.6560296622423973,0.05466913852019977
3900,4200,4050.0,1.125,300,1.8223046173399925e-07,0.6560296622423973,0.05466913852019977
4200,4500,4350.0,1.2083333333333333,300,1.822304617339992e-07,0.6560296622423971,0.05466913852019976
4500,4800,4650.0,1.2916666666666667,300,1.822304617339989e-07,0.656029662242396,0.054669138520199674
4800,5100,4950.0,1.375,300,1.822304617339992e-07,0.6560296622423971,0.05466913852019976
5100,5400,5250.0,1.4583333333333333,300,1.822304617339992e-07,0.6560296622423971,0.05466913852019976
5400,5700,5550.0,1.5416666666666667,300,1.8223046173399925e-06,6.560296622423973,0.5466913852019978
5700,6000,5850.0,1.625,300,1.8223046173399925e-06,6.560296622423973,0.5466913852019978
6000,6300,6150.0,1.7083333333333333,300,1.822304617339993e-06,6.560296622423975,0.5466913852019979
6300,6600,6450.0,1.7916666666666667,300,1.8223046173399925e-06,6.560296622423973,0.5466913852019978
6600,6900,6750.0,1.875,300,1.8223046173399842e-06,6.560296622423944,0.5466913852019952
6900,7200,7050.0,1.9583333333333333,300,1.8223046173399925e-06,6.560296622423973,0.5466913852019978
7200,7500,7350.0,2.0416666666666665,300,1.5619753862914216e-05,56.231113906491174,4.685926158874264
7500,7800,7650.0,2.125,300,1.5619753862914216e-05,56.231113906491174,4.685926158874264
7800,8100,7950.0,2.2083333333333335,300,1.561975386291421e-05,56.23111390649115,4.6859261588742624
8100,8400,8250.0,2.2916666666666665,300,1.5619753862914216e-05,56.231113906491174,4.685926158874264
8400,8700,8550.0,2.375,300,1.5619753862914216e-05,56.231113906491174,4.685926158874264
8700,9000,8850.0,2.4583333333333335,300,1.561975386291421e-05,56.23111390649115,4.6859261588742624
9000,9300,9150.0,2.5416666666666665,300,2.603292310485704e-05,93.71852317748534,7.809876931457112
9300,9600,9450.0,2.625,300,2.603292310485692e-05,93.71852317748491,7.809876931457077
9600,9900,9750.0,2.7083333333333335,300,2.603292310485704e-05,93.71852317748534,7.809876931457112
9900,10200,10050.0,2.7916666666666665,300,2.603292310485704e-05,93.71852317748534,7.809876931457112
10200,10500,10350.0,2.875,300,2.603292310485704e-05,93.71852317748534,7.809876931457112
10500,10800,10650.0,2.9583333333333335,300,2.603292310485704e-05,93.71852317748534,7.809876931457112
10800,11100,10950.0,3.0416666666666665,300,7.809876931457066e-06,28.115556953245434,2.3429630794371197
11100,11400,11250.0,3.125,300,7.80987693145714e-06,28.115556953245704,2.3429630794371423
11400,11700,11550.0,3.2083333333333335,300,7.809876931457066e-06,28.115556953245434,2.3429630794371197
11700,12000,11850.0,3.2916666666666665,300,7.80987693145714e-06,28.115556953245704,2.3429630794371423
12000,12300,12150.0,3.375,300,7.809876931457066e-06,28.115556953245434,2.3429630794371197
12300,12600,12450.0,3.4583333333333335,300,7.80987693145714e-06,28.115556953245704,2.3429630794371423
12600,12900,12750.0,3.5416666666666665,300,2.6032923104856887e-06,9.371852317748479,0.7809876931457067
12900,13200,13050.0,3.625,300,2.6032923104857264e-06,9.371852317748614,0.7809876931457179
13200,13500,13350.0,3.7083333333333335,300,2.6032923104856887e-06,9.371852317748479,0.7809876931457067
13500,13800,13650.0,3.7916666666666665,300,2.6032923104856887e-06,9.371852317748479,0.7809876931457067
13800,14100,13950.0,3.875,300,2.6032923104857264e-06,9.371852317748614,0.7809876931457179
14100,14400,14250.0,3.9583333333333335,300,2.6032923104856887e-06,9.371852317748479,0.7809876931457067
14400,14700,14550.0,4.041666666666667,300,2.6032923104857264e-06,9.371852317748614,0.7809876931457179
14700,15000,14850.0,4.125,300,2.6032923104856887e-06,9.371852317748479,0.7809876931457067
15000,15300,15150.0,4.208333333333333,300,2.6032923104856887e-06,9.371852317748479,0.7809876931457067
15300,15600,15450.0,4.291666666666667,300,2.6032923104856887e-06,9.371852317748479,0.7809876931457067
15600,15900,15750.0,4.375,300,2.6032923104857264e-06,9.371852317748614,0.7809876931457179
15900,16200,16050.0,4.458333333333333,300,2.6032923104856887e-06,9.371852317748479,0.7809876931457067
16200,16500,16350.0,4.541666666666667,300,5.20658462097153e-07,1.8743704635497507,0.1561975386291459
16500,16800,16650.0,4.625,300,5.206584620971148e-07,1.8743704635496135,0.15619753862913444
16800,17100,16950.0,4.708333333333333,300,5.20658462097153e-07,1.8743704635497507,0.1561975386291459
17100,17400,17250.0,4.791666666666667,300,5.20658462097153e-07,1.8743704635497507,0.1561975386291459
17400,17700,17550.0,4.875,300,5.206584620971148e-07,1.8743704635496135,0.15619753862913444
17700,18000,17850.0,4.958333333333333,300,5.20658462097153e-07,1.8743704635497507,0.1561975386291459
18000,18300,18150.0,5.041666666666667,300,7.809876931455193e-08,0.28115556953238696,0.02342963079436558
18300,18600,18450.0,5.125,300,7.809876931459015e-08,0.2811555695325245,0.023429630794377043
18600,18900,18750.0,5.208333333333333,300,7.809876931455193e-08,0.28115556953238696,0.02342963079436558
18900,19200,19050.0,5.291666666666667,300,7.809876931459015e-08,0.2811555695325245,0.023429630794377043
19200,19500,19350.0,5.375,300,7.809876931459015e-08,0.2811555695325245,0.023429630794377043
19500,19800,19650.0,5.458333333333333,300,7.809876931455193e-08,0.28115556953238696,0.02342963079436558
19800,20100,19950.0,5.541666666666667,300,0.0,0.0,0.0
20100,20400,20250.0,5.625,300,0.0,0.0,0.0
20400,20700,20550.0,5.708333333333333,300,0.0,0.0,0.0
20700,21000,20850.0,5.791666666666667,300,0.0,0.0,0.0
21000,21300,21150.0,5.875,300,0.0,0.0,0.0
21300,21600,21450.0,5.958333333333333,300,0.0,0.0,0.0
