t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,0.0,0.0,0.0
1200,1500,1350.0,0.375,300,0.0,0.0,0.0
1500,1800,1650.0,0.4583333333333333,300,0.0,0.0,0.0
1800,2100,1950.0,0.5416666666666666,300,1.0420865108185812e-07,0.37515114389468923,0.03126259532455744
2100,2400,2250.0,0.625,300,1.0420865108185804e-07,0.37515114389468895,0.03126259532455741
2400,2700,2550.0,0.7083333333333334,300,1.0420865108185812e-07,0.37515114389468923,0.03126259532455744
2700,3000,2850.0,0.7916666666666666,300,1.0420865108185815e-07,0.37515114389468934,0.03126259532455745
3000,3300,3150.0,0.875,300,1.0420865108185819e-07,0.37515114389468945,0.031262595324557454
3300,3600,3450.0,0.9583333333333334,300,1.0420865108185784e-07,0.37515114389468823,0.03126259532455735
3600,3900,3750.0,1.0416666666666667,300,2.431535191910024e-07,0.8753526690876086,0.07294605575730072
3900,4200,4050.0,1.125,300,2.431535191910024e-07,0.8753526690876086,0.07294605575730072
4200,4500,4350.0,1.2083333333333333,300,2.431535191910023e-07,0.8753526690876082,0.07294605575730069
4500,4800,4650.0,1.2916666666666667,300,2.4315351919100186e-07,0.8753526690876068,0.07294605575730055
4800,5100,4950.0,1.375,300,2.431535191910023e-07,0.8753526690876082,0.07294605575730069
5100,5400,5250.0,1.4583333333333333,300,2.431535191910023e-07,0.8753526690876082,0.07294605575730069
5400,5700,5550.0,1.5416666666666667,300,2.4315351919100236e-06,8.753526690876086,0.7294605575730071
5700,6000,5850.0,1.625,300,2.4315351919100236e-06,8.753526690876086,0.7294605575730071
6000,6300,6150.0,1.7083333333333333,300,2.4315351919100245e-06,8.753526690876088,0.7294605575730073
6300,6600,6450.0,1.7916666666666667,300,2.4315351919100236e-06,8.753526690876086,0.7294605575730071
6600,6900,6750.0,1.875,300,2.431535191910012e-06,8.753526690876043,0.7294605575730037
6900,7200,7050.0,1.9583333333333333,300,2.4315351919100236e-06,8.753526690876086,0.7294605575730071
7200,7500,7350.0,2.0416666666666665,300,2.084173021637162e-05,75.03022877893784,6.252519064911486
7500,7800,7650.0,2.125,300,2.084173021637162e-05,75.03022877893784,6.252519064911486
7800,8100,7950.0,2.2083333333333335,300,2.084173021637161e-05,75.0302287789378,6.252519064911483
8100,8400,8250.0,2.2916666666666665,300,2.084173021637162e-05,75.03022877893784,6.252519064911486
8400,8700,8550.0,2.375,300,2.084173021637162e-05,75.03022877893784,6.252519064911486
8700,9000,8850.0,2.4583333333333335,300,2.084173021637161e-05,75.0302287789378,6.252519064911483
9000,9300,9150.0,2.5416666666666665,300,3.4736217027286056e-05,125.0503812982298,10.420865108185817
9300,9600,9450.0,2.625,300,3.4736217027285894e-05,125.05038129822923,10.420865108185767
9600,9900,9750.0,2.7083333333333335,300,3.4736217027286056e-05,125.0503812982298,10.420865108185817
9900,10200,10050.0,2.7916666666666665,300,3.4736217027286056e-05,125.0503812982298,10.420865108185817
10200,10500,10350.0,2.875,300,3.4736217027286056e-05,125.0503812982298,10.420865108185817
10500,10800,10650.0,2.9583333333333335,300,3.4736217027286056e-05,125.0503812982298,10.420865108185817
10800,11100,10950.0,3.0416666666666665,300,1.0420865108185755e-05,37.51511438946872,3.1262595324557263
11100,11400,11250.0,3.125,300,1.0420865108185855e-05,37.515114389469076,3.1262595324557565
11400,11700,11550.0,3.2083333333333335,300,1.0420865108185755e-05,37.51511438946872,3.1262595324557263
11700,12000,11850.0,3.2916666666666665,300,1.0420865108185855e-05,37.515114389469076,3.1262595324557565
12000,12300,12150.0,3.375,300,1.0420865108185755e-05,37.51511438946872,3.1262595324557263
12300,12600,12450.0,3.4583333333333335,300,1.0420865108185855e-05,37.515114389469076,3.1262595324557565
12600,12900,12750.0,3.5416666666666665,300,3.473621702728584e-06,12.505038129822903,1.042086510818575
12900,13200,13050.0,3.625,300,3.4736217027286353e-06,12.505038129823088,1.0420865108185906
13200,13500,13350.0,3.7083333333333335,300,3.473621702728584e-06,12.505038129822903,1.042086510818575
13500,13800,13650.0,3.7916666666666665,300,3.473621702728584e-06,12.505038129822903,1.042086510818575
13800,14100,13950.0,3.875,300,3.4736217027286353e-06,12.505038129823088,1.0420865108185906
14100,14400,14250.0,3.9583333333333335,300,3.473621702728584e-06,12.505038129822903,1.042086510818575
14400,14700,14550.0,4.041666666666667,300,3.4736217027286353e-06,12.505038129823088,1.0420865108185906
14700,15000,14850.0,4.125,300,3.473621702728584e-06,12.505038129822903,1.042086510818575
15000,15300,15150.0,4.208333333333333,300,3.473621702728584e-06,12.505038129822903,1.042086510818575
15300,15600,15450.0,4.291666666666667,300,3.473621702728584e-06,12.505038129822903,1.042086510818575
15600,15900,15750.0,4.375,300,3.4736217027286353e-06,12.505038129823088,1.0420865108185906
15900,16200,16050.0,4.458333333333333,300,3.473621702728584e-06,12.505038129822903,1.042086510818575
16200,16500,16350.0,4.541666666666667,300,6.947243405457373e-07,2.5010076259646543,0.20841730216372117
16500,16800,16650.0,4.625,300,6.947243405456862e-07,2.5010076259644705,0.20841730216370585
16800,17100,16950.0,4.708333333333333,300,6.947243405457373e-07,2.5010076259646543,0.20841730216372117
17100,17400,17250.0,4.791666666666667,300,6.947243405457373e-07,2.5010076259646543,0.20841730216372117
17400,17700,17550.0,4.875,300,6.947243405456862e-07,2.5010076259644705,0.20841730216370585
17700,18000,17850.0,4.958333333333333,300,6.947243405457373e-07,2.5010076259646543,0.20841730216372117
18000,18300,18150.0,5.041666666666667,300,1.0420865108183255e-07,0.3751511438945972,0.03126259532454976
18300,18600,18450.0,5.125,300,1.0420865108188353e-07,0.3751511438947807,0.03126259532456506
18600,18900,18750.0,5.208333333333333,300,1.0420865108183255e-07,0.3751511438945972,0.03126259532454976
18900,19200,19050.0,5.291666666666667,300,1.0420865108188353e-07,0.3751511438947807,0.03126259532456506
19200,19500,19350.0,5.375,300,1.0420865108188353e-07,0.3751511438947807,0.03126259532456506
19500,19800,19650.0,5.458333333333333,300,1.0420865108183255e-07,0.3751511438945972,0.03126259532454976
19800,20100,19950.0,5.541666666666667,300,0.0,0.0,0.0
20100,20400,20250.0,5.625,300,0.0,0.0,0.0
20400,20700,20550.0,5.708333333333333,300,0.0,0.0,0.0
20700,21000,20850.0,5.791666666666667,300,0.0,0.0,0.0
21000,21300,21150.0,5.875,300,0.0,0.0,0.0
21300,21600,21450.0,5.958333333333333,300,0.0,0.0,0.0
