t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,1.2651511877742476e-07,0.4554544275987291,0.037954535633227426
1200,1500,1350.0,0.375,300,1.265151187774248e-07,0.4554544275987293,0.03795453563322745
1500,1800,1650.0,0.4583333333333333,300,1.265151187774247e-07,0.4554544275987289,0.03795453563322741
1800,2100,1950.0,0.5416666666666666,300,2.9520194381399125e-07,1.0627269977303684,0.08856058314419737
2100,2400,2250.0,0.625,300,2.9520194381399094e-07,1.0627269977303673,0.08856058314419728
2400,2700,2550.0,0.7083333333333334,300,2.9520194381399115e-07,1.0627269977303682,0.08856058314419735
2700,3000,2850.0,0.7916666666666666,300,2.9520194381399123e-06,10.627269977303685,0.8856058314419737
3000,3300,3150.0,0.875,300,2.952019438139913e-06,10.627269977303687,0.885605831441974
3300,3600,3450.0,0.9583333333333334,300,2.952019438139906e-06,10.627269977303662,0.8856058314419718
3600,3900,3750.0,1.0416666666666667,300,2.5303023755484957e-05,91.09088551974584,7.590907126645487
3900,4200,4050.0,1.125,300,2.530302375548495e-05,91.09088551974583,7.590907126645485
4200,4500,4350.0,1.2083333333333333,300,2.530302375548495e-05,91.09088551974583,7.590907126645485
4500,4800,4650.0,1.2916666666666667,300,4.217170625914152e-05,151.8181425329095,12.651511877742456
4800,5100,4950.0,1.375,300,4.2171706259141624e-05,151.81814253290983,12.651511877742488
5100,5400,5250.0,1.4583333333333333,300,4.2171706259141624e-05,151.81814253290983,12.651511877742488
5400,5700,5550.0,1.5416666666666667,300,1.2651511877742473e-05,45.545442759872905,3.795453563322742
5700,6000,5850.0,1.625,300,1.2651511877742473e-05,45.545442759872905,3.795453563322742
6000,6300,6150.0,1.7083333333333333,300,1.2651511877742473e-05,45.545442759872905,3.795453563322742
6300,6600,6450.0,1.7916666666666667,300,4.217170625914168e-06,15.181814253291003,1.2651511877742503
6600,6900,6750.0,1.875,300,4.217170625914136e-06,15.181814253290892,1.265151187774241
6900,7200,7050.0,1.9583333333333333,300,4.217170625914168e-06,15.181814253291003,1.2651511877742503
7200,7500,7350.0,2.0416666666666665,300,4.217170625914168e-06,15.181814253291003,1.2651511877742503
7500,7800,7650.0,2.125,300,4.217170625914136e-06,15.181814253290892,1.265151187774241
7800,8100,7950.0,2.2083333333333335,300,4.217170625914168e-06,15.181814253291003,1.2651511877742503
8100,8400,8250.0,2.2916666666666665,300,8.43434125182821e-07,3.036362850658156,0.2530302375548463
8400,8700,8550.0,2.375,300,8.43434125182852e-07,3.0363628506582674,0.2530302375548556
8700,9000,8850.0,2.4583333333333335,300,8.43434125182821e-07,3.036362850658156,0.2530302375548463
9000,9300,9150.0,2.5416666666666665,300,1.265151187774247e-07,0.4554544275987289,0.03795453563322741
9300,9600,9450.0,2.625,300,1.265151187774247e-07,0.4554544275987289,0.03795453563322741
9600,9900,9750.0,2.7083333333333335,300,1.265151187774247e-07,0.4554544275987289,0.03795453563322741
9900,10200,10050.0,2.7916666666666665,300,0.0,0.0,0.0
10200,10500,10350.0,2.875,300,0.0,0.0,0.0
10500,10800,10650.0,2.9583333333333335,300,0.0,0.0,0.0
