t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,0.0,0.0,0.0
1200,1500,1350.0,0.375,300,0.0,0.0,0.0
1500,1800,1650.0,0.4583333333333333,300,0.0,0.0,0.0
1800,2100,1950.0,0.5416666666666666,300,6.562073536087159e-08,0.2362346472991377,0.019686220608261477
2100,2400,2250.0,0.625,300,6.562073536087151e-08,0.23623464729913746,0.019686220608261452
2400,2700,2550.0,0.7083333333333334,300,6.562073536087157e-08,0.23623464729913762,0.01968622060826147
2700,3000,2850.0,0.7916666666666666,300,6.562073536087159e-08,0.2362346472991377,0.019686220608261477
3000,3300,3150.0,0.875,300,6.56207353608716e-08,0.23623464729913776,0.01968622060826148
3300,3600,3450.0,0.9583333333333334,300,6.562073536087139e-08,0.23623464729913704,0.019686220608261418
3600,3900,3750.0,1.0416666666666667,300,1.5311504917536708e-07,0.5512141770313215,0.04593451475261012
3900,4200,4050.0,1.125,300,1.5311504917536708e-07,0.5512141770313215,0.04593451475261012
4200,4500,4350.0,1.2083333333333333,300,1.5311504917536697e-07,0.5512141770313211,0.04593451475261009
4500,4800,4650.0,1.2916666666666667,300,1.5311504917536673e-07,0.5512141770313203,0.04593451475261002
4800,5100,4950.0,1.375,300,1.5311504917536697e-07,0.5512141770313211,0.04593451475261009
5100,5400,5250.0,1.4583333333333333,300,1.5311504917536697e-07,0.5512141770313211,0.04593451475261009
5400,5700,5550.0,1.5416666666666667,300,1.5311504917536701e-06,5.512141770313212,0.45934514752610106
5700,6000,5850.0,1.625,300,1.5311504917536701e-06,5.512141770313212,0.45934514752610106
6000,6300,6150.0,1.7083333333333333,300,1.5311504917536708e-06,5.512141770313215,0.4593451475261012
6300,6600,6450.0,1.7916666666666667,300,1.5311504917536701e-06,5.512141770313212,0.45934514752610106
6600,6900,6750.0,1.875,300,1.5311504917536632e-06,5.512141770313187,0.4593451475260989
6900,7200,7050.0,1.9583333333333333,300,1.5311504917536701e-06,5.512141770313212,0.45934514752610106
7200,7500,7350.0,2.0416666666666665,300,1.312414707217431e-05,47.24692945982752,3.9372441216522938
7500,7800,7650.0,2.125,300,1.312414707217431e-05,47.24692945982752,3.9372441216522938
7800,8100,7950.0,2.2083333333333335,300,1.3124147072174304e-05,47.24692945982749,3.937244121652291
8100,8400,8250.0,2.2916666666666665,300,1.312414707217431e-05,47.24692945982752,3.9372441216522938
8400,8700,8550.0,2.375,300,1.312414707217431e-05,47.24692945982752,3.9372441216522938
8700,9000,8850.0,2.4583333333333335,300,1.3124147072174304e-05,47.24692945982749,3.937244121652291
9000,9300,9150.0,2.5416666666666665,300,2.1873578453623863e-05,78.7448824330459,6.5620735360871585
9300,9600,9450.0,2.625,300,2.187357845362377e-05,78.74488243304556,6.56207353608713
9600,9900,9750.0,2.7083333333333335,300,2.1873578453623863e-05,78.7448824330459,6.5620735360871585
9900,10200,10050.0,2.7916666666666665,300,2.1873578453623863e-05,78.7448824330459,6.5620735360871585
10200,10500,10350.0,2.875,300,2.1873578453623863e-05,78.7448824330459,6.5620735360871585
10500,10800,10650.0,2.9583333333333335,300,2.1873578453623863e-05,78.7448824330459,6.5620735360871585
10800,11100,10950.0,3.0416666666666665,300,6.56207353608712e-06,23.623464729913632,1.968622060826136
11100,11400,11250.0,3.125,300,6.562073536087184e-06,23.623464729913863,1.9686220608261555
11400,11700,11550.0,3.2083333333333335,300,6.56207353608712e-06,23.623464729913632,1.968622060826136
11700,12000,11850.0,3.2916666666666665,300,6.562073536087184e-06,23.623464729913863,1.9686220608261555
12000,12300,12150.0,3.375,300,6.56207353608712e-06,23.623464729913632,1.968622060826136
12300,12600,12450.0,3.4583333333333335,300,6.562073536087184e-06,23.623464729913863,1.9686220608261555
12600,12900,12750.0,3.5416666666666665,300,2.1873578453623733e-06,7.874488243304544,0.656207353608712
12900,13200,13050.0,3.625,300,2.1873578453624055e-06,7.8744882433046595,0.6562073536087216
13200,13500,13350.0,3.7083333333333335,300,2.1873578453623733e-06,7.874488243304544,0.656207353608712
13500,13800,13650.0,3.7916666666666665,300,2.1873578453623733e-06,7.874488243304544,0.656207353608712
13800,14100,13950.0,3.875,300,2.1873578453624055e-06,7.8744882433046595,0.6562073536087216
14100,14400,14250.0,3.9583333333333335,300,2.1873578453623733e-06,7.874488243304544,0.656207353608712
14400,14700,14550.0,4.041666666666667,300,2.1873578453624055e-06,7.8744882433046595,0.6562073536087216
14700,15000,14850.0,4.125,300,2.1873578453623733e-06,7.874488243304544,0.656207353608712
15000,15300,15150.0,4.208333333333333,300,2.1873578453623733e-06,7.874488243304544,0.656207353608712
15300,15600,15450.0,4.291666666666667,300,2.1873578453623733e-06,7.874488243304544,0.656207353608712
15600,15900,15750.0,4.375,300,2.1873578453624055e-06,7.8744882433046595,0.6562073536087216
15900,16200,16050.0,4.458333333333333,300,2.1873578453623733e-06,7.874488243304544,0.656207353608712
16200,16500,16350.0,4.541666666666667,300,4.3747156907248753e-07,1.5748976486609552,0.13124147072174627
16500,16800,16650.0,4.625,300,4.3747156907245545e-07,1.5748976486608395,0.13124147072173664
16800,17100,16950.0,4.708333333333333,300,4.3747156907248753e-07,1.5748976486609552,0.13124147072174627
17100,17400,17250.0,4.791666666666667,300,4.3747156907248753e-07,1.5748976486609552,0.13124147072174627
17400,17700,17550.0,4.875,300,4.3747156907245545e-07,1.5748976486608395,0.13124147072173664
17700,18000,17850.0,4.958333333333333,300,4.3747156907248753e-07,1.5748976486609552,0.13124147072174627
18000,18300,18150.0,5.041666666666667,300,6.562073536085547e-08,0.2362346472990797,0.019686220608256644
18300,18600,18450.0,5.125,300,6.562073536088757e-08,0.23623464729919524,0.01968622060826627
18600,18900,18750.0,5.208333333333333,300,6.562073536085547e-08,0.2362346472990797,0.019686220608256644
18900,19200,19050.0,5.291666666666667,300,6.562073536088757e-08,0.23623464729919524,0.01968622060826627
19200,19500,19350.0,5.375,300,6.562073536088757e-08,0.23623464729919524,0.01968622060826627
19500,19800,19650.0,5.458333333333333,300,6.562073536085547e-08,0.2362346472990797,0.019686220608256644
19800,20100,19950.0,5.541666666666667,300,0.0,0.0,0.0
20100,20400,20250.0,5.625,300,0.0,0.0,0.0
20400,20700,20550.0,5.708333333333333,300,0.0,0.0,0.0
20700,21000,20850.0,5.791666666666667,300,0.0,0.0,0.0
21000,21300,21150.0,5.875,300,0.0,0.0,0.0
21300,21600,21450.0,5.958333333333333,300,0.0,0.0,0.0
