t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,0.0,0.0,0.0
1200,1500,1350.0,0.375,300,0.0,0.0,0.0
1500,1800,1650.0,0.4583333333333333,300,0.0,0.0,0.0
1800,2100,1950.0,0.5416666666666666,300,6.728720608261466e-08,0.24223394189741276,0.0201861618247844
2100,2400,2250.0,0.625,300,6.728720608261461e-08,0.24223394189741257,0.020186161824784384
2400,2700,2550.0,0.7083333333333334,300,6.728720608261465e-08,0.24223394189741274,0.020186161824784395
2700,3000,2850.0,0.7916666666666666,300,6.728720608261468e-08,0.24223394189741282,0.020186161824784405
3000,3300,3150.0,0.875,300,6.72872060826147e-08,0.24223394189741293,0.020186161824784412
3300,3600,3450.0,0.9583333333333334,300,6.728720608261449e-08,0.24223394189741218,0.020186161824784346
3600,3900,3750.0,1.0416666666666667,300,1.5700348085943426e-07,0.5652125310939633,0.04710104425783028
3900,4200,4050.0,1.125,300,1.5700348085943426e-07,0.5652125310939633,0.04710104425783028
4200,4500,4350.0,1.2083333333333333,300,1.570034808594342e-07,0.5652125310939632,0.047101044257830266
4500,4800,4650.0,1.2916666666666667,300,1.5700348085943392e-07,0.5652125310939621,0.047101044257830176
4800,5100,4950.0,1.375,300,1.570034808594342e-07,0.5652125310939632,0.047101044257830266
5100,5400,5250.0,1.4583333333333333,300,1.570034808594342e-07,0.5652125310939632,0.047101044257830266
5400,5700,5550.0,1.5416666666666667,300,1.5700348085943423e-06,5.652125310939633,0.47101044257830266
5700,6000,5850.0,1.625,300,1.5700348085943423e-06,5.652125310939633,0.47101044257830266
6000,6300,6150.0,1.7083333333333333,300,1.5700348085943428e-06,5.652125310939634,0.4710104425783028
6300,6600,6450.0,1.7916666666666667,300,1.5700348085943423e-06,5.652125310939633,0.47101044257830266
6600,6900,6750.0,1.875,300,1.5700348085943351e-06,5.652125310939606,0.47101044257830055
6900,7200,7050.0,1.9583333333333333,300,1.5700348085943423e-06,5.652125310939633,0.47101044257830266
7200,7500,7350.0,2.0416666666666665,300,1.3457441216522929e-05,48.44678837948254,4.037232364956879
7500,7800,7650.0,2.125,300,1.345744121652293e-05,48.44678837948255,4.037232364956879
7800,8100,7950.0,2.2083333333333335,300,1.3457441216522924e-05,48.44678837948253,4.0372323649568775
8100,8400,8250.0,2.2916666666666665,300,1.345744121652293e-05,48.44678837948255,4.037232364956879
8400,8700,8550.0,2.375,300,1.345744121652293e-05,48.44678837948255,4.037232364956879
8700,9000,8850.0,2.4583333333333335,300,1.3457441216522924e-05,48.44678837948253,4.0372323649568775
9000,9300,9150.0,2.5416666666666665,300,2.2429068694204894e-05,80.74464729913763,6.728720608261469
9300,9600,9450.0,2.625,300,2.2429068694204796e-05,80.74464729913726,6.7287206082614395
9600,9900,9750.0,2.7083333333333335,300,2.2429068694204894e-05,80.74464729913763,6.728720608261469
9900,10200,10050.0,2.7916666666666665,300,2.2429068694204894e-05,80.74464729913763,6.728720608261469
10200,10500,10350.0,2.875,300,2.2429068694204894e-05,80.74464729913763,6.728720608261469
10500,10800,10650.0,2.9583333333333335,300,2.2429068694204894e-05,80.74464729913763,6.728720608261469
10800,11100,10950.0,3.0416666666666665,300,6.728720608261428e-06,24.22339418974114,2.0186161824784286
11100,11400,11250.0,3.125,300,6.728720608261494e-06,24.223394189741377,2.018616182478448
11400,11700,11550.0,3.2083333333333335,300,6.728720608261428e-06,24.22339418974114,2.0186161824784286
11700,12000,11850.0,3.2916666666666665,300,6.728720608261494e-06,24.223394189741377,2.018616182478448
12000,12300,12150.0,3.375,300,6.728720608261428e-06,24.22339418974114,2.0186161824784286
12300,12600,12450.0,3.4583333333333335,300,6.728720608261494e-06,24.223394189741377,2.018616182478448
12600,12900,12750.0,3.5416666666666665,300,2.242906869420476e-06,8.074464729913714,0.6728720608261428
12900,13200,13050.0,3.625,300,2.242906869420509e-06,8.074464729913831,0.6728720608261527
13200,13500,13350.0,3.7083333333333335,300,2.242906869420476e-06,8.074464729913714,0.6728720608261428
13500,13800,13650.0,3.7916666666666665,300,2.242906869420476e-06,8.074464729913714,0.6728720608261428
13800,14100,13950.0,3.875,300,2.242906869420509e-06,8.074464729913831,0.6728720608261527
14100,14400,14250.0,3.9583333333333335,300,2.242906869420476e-06,8.074464729913714,0.6728720608261428
14400,14700,14550.0,4.041666666666667,300,2.242906869420509e-06,8.074464729913831,0.6728720608261527
14700,15000,14850.0,4.125,300,2.242906869420476e-06,8.074464729913714,0.6728720608261428
15000,15300,15150.0,4.208333333333333,300,2.242906869420476e-06,8.074464729913714,0.6728720608261428
15300,15600,15450.0,4.291666666666667,300,2.242906869420476e-06,8.074464729913714,0.6728720608261428
15600,15900,15750.0,4.375,300,2.242906869420509e-06,8.074464729913831,0.6728720608261527
15900,16200,16050.0,4.458333333333333,300,2.242906869420476e-06,8.074464729913714,0.6728720608261428
16200,16500,16350.0,4.541666666666667,300,4.485813738841084e-07,1.61489294598279,0.13457441216523253
16500,16800,16650.0,4.625,300,4.485813738840755e-07,1.614892945982672,0.13457441216522265
16800,17100,16950.0,4.708333333333333,300,4.485813738841084e-07,1.61489294598279,0.13457441216523253
17100,17400,17250.0,4.791666666666667,300,4.485813738841084e-07,1.61489294598279,0.13457441216523253
17400,17700,17550.0,4.875,300,4.485813738840755e-07,1.614892945982672,0.13457441216522265
17700,18000,17850.0,4.958333333333333,300,4.485813738841084e-07,1.61489294598279,0.13457441216523253
18000,18300,18150.0,5.041666666666667,300,6.728720608259816e-08,0.24223394189735334,0.020186161824779447
18300,18600,18450.0,5.125,300,6.728720608263107e-08,0.24223394189747186,0.020186161824789325
18600,18900,18750.0,5.208333333333333,300,6.728720608259816e-08,0.24223394189735334,0.020186161824779447
18900,19200,19050.0,5.291666666666667,300,6.728720608263107e-08,0.24223394189747186,0.020186161824789325
19200,19500,19350.0,5.375,300,6.728720608263107e-08,0.24223394189747186,0.020186161824789325
19500,19800,19650.0,5.458333333333333,300,6.728720608259816e-08,0.24223394189735334,0.020186161824779447
19800,20100,19950.0,5.541666666666667,300,0.0,0.0,0.0
20100,20400,20250.0,5.625,300,0.0,0.0,0.0
20400,20700,20550.0,5.708333333333333,300,0.0,0.0,0.0
20700,21000,20850.0,5.791666666666667,300,0.0,0.0,0.0
21000,21300,21150.0,5.875,300,0.0,0.0,0.0
21300,21600,21450.0,5.958333333333333,300,0.0,0.0,0.0
