t_start_s,t_end_s,t_mid_s,t_mid_h,dt_s,rate_mps,rate_mmh,depth_mm
0,300,150.0,0.041666666666666664,300,0.0,0.0,0.0
300,600,450.0,0.125,300,0.0,0.0,0.0
600,900,750.0,0.20833333333333334,300,0.0,0.0,0.0
900,1200,1050.0,0.2916666666666667,300,1.1678318656377669e-07,0.42041947162959614,0.03503495596913301
1200,1500,1350.0,0.375,300,1.1678318656377675e-07,0.42041947162959625,0.03503495596913303
1500,1800,1650.0,0.4583333333333333,300,1.1678318656377663e-07,0.42041947162959586,0.03503495596913299
1800,2100,1950.0,0.5416666666666666,300,2.724941019821458e-07,0.9809787671357248,0.08174823059464374
2100,2400,2250.0,0.625,300,2.724941019821455e-07,0.9809787671357236,0.08174823059464364
2400,2700,2550.0,0.7083333333333334,300,2.724941019821457e-07,0.9809787671357244,0.08174823059464371
2700,3000,2850.0,0.7916666666666666,300,2.7249410198214574e-06,9.809787671357245,0.8174823059464372
3000,3300,3150.0,0.875,300,2.724941019821458e-06,9.809787671357247,0.8174823059464373
3300,3600,3450.0,0.9583333333333334,300,2.7249410198214515e-06,9.809787671357226,0.8174823059464355
3600,3900,3750.0,1.0416666666666667,300,2.3356637312755346e-05,84.08389432591925,7.006991193826604
3900,4200,4050.0,1.125,300,2.3356637312755336e-05,84.0838943259192,7.0069911938266
4200,4500,4350.0,1.2083333333333333,300,2.3356637312755336e-05,84.0838943259192,7.0069911938266
4500,4800,4650.0,1.2916666666666667,300,3.8927728854592174e-05,140.13982387653184,11.678318656377652
4800,5100,4950.0,1.375,300,3.892772885459226e-05,140.13982387653215,11.678318656377678
5100,5400,5250.0,1.4583333333333333,300,3.892772885459226e-05,140.13982387653215,11.678318656377678
5400,5700,5550.0,1.5416666666666667,300,1.1678318656377666e-05,42.041947162959595,3.5034955969132997
5700,6000,5850.0,1.625,300,1.1678318656377666e-05,42.041947162959595,3.5034955969132997
6000,6300,6150.0,1.7083333333333333,300,1.1678318656377666e-05,42.041947162959595,3.5034955969132997
6300,6600,6450.0,1.7916666666666667,300,3.892772885459231e-06,14.01398238765323,1.167831865637769
6600,6900,6750.0,1.875,300,3.892772885459203e-06,14.013982387653131,1.1678318656377609
6900,7200,7050.0,1.9583333333333333,300,3.892772885459231e-06,14.01398238765323,1.167831865637769
7200,7500,7350.0,2.0416666666666665,300,3.892772885459231e-06,14.01398238765323,1.167831865637769
7500,7800,7650.0,2.125,300,3.892772885459203e-06,14.013982387653131,1.1678318656377609
7800,8100,7950.0,2.2083333333333335,300,3.892772885459231e-06,14.01398238765323,1.167831865637769
8100,8400,8250.0,2.2916666666666665,300,7.785545770918347e-07,2.802796477530605,0.2335663731275504
8400,8700,8550.0,2.375,300,7.785545770918633e-07,2.802796477530708,0.23356637312755898
8700,9000,8850.0,2.4583333333333335,300,7.785545770918347e-07,2.802796477530605,0.2335663731275504
9000,9300,9150.0,2.5416666666666665,300,1.1678318656377664e-07,0.4204194716295959,0.035034955969132996
9300,9600,9450.0,2.625,300,1.1678318656377664e-07,0.4204194716295959,0.035034955969132996
9600,9900,9750.0,2.7083333333333335,300,1.1678318656377664e-07,0.4204194716295959,0.035034955969132996
9900,10200,10050.0,2.7916666666666665,300,0.0,0.0,0.0
10200,10500,10350.0,2.875,300,0.0,0.0,0.0
10500,10800,10650.0,2.9583333333333335,300,0.0,0.0,0.0
